lmax,irreps_type,tensor_product_type,wall_time_cpu
1,SISO,CGTP-dense,0.00001
2,SISO,CGTP-dense,0.000011
3,SISO,CGTP-dense,0.000009
4,SISO,CGTP-dense,0.000014
5,SISO,CGTP-dense,0.00001
6,SISO,CGTP-dense,0.000011
7,SISO,CGTP-dense,0.000009
8,SISO,CGTP-dense,0.000011
1,SIMO,CGTP-dense,0.000012
2,SIMO,CGTP-dense,0.000012
3,SIMO,CGTP-dense,0.000013
4,SIMO,CGTP-dense,0.000013
5,SIMO,CGTP-dense,0.000014
6,SIMO,CGTP-dense,0.000015
7,SIMO,CGTP-dense,0.000017
8,SIMO,CGTP-dense,0.000019
1,MIMO,CGTP-dense,0.000013
2,MIMO,CGTP-dense,0.000015
3,MIMO,CGTP-dense,0.000024
4,MIMO,CGTP-dense,0.000043
5,MIMO,CGTP-dense,0.000054
6,MIMO,CGTP-dense,0.000083
7,MIMO,CGTP-dense,0.000127
8,MIMO,CGTP-dense,0.000195
1,SISO,GTP-grid,0.00004
2,SISO,GTP-grid,0.000025
3,SISO,GTP-grid,0.000027
4,SISO,GTP-grid,0.00003
5,SISO,GTP-grid,0.000037
6,SISO,GTP-grid,0.000046
7,SISO,GTP-grid,0.000042
8,SISO,GTP-grid,0.000038
1,SIMO,GTP-grid,0.000042
2,SIMO,GTP-grid,0.000028
3,SIMO,GTP-grid,0.000033
4,SIMO,GTP-grid,0.000042
5,SIMO,GTP-grid,0.000051
6,SIMO,GTP-grid,0.000064
7,SIMO,GTP-grid,0.000086
8,SIMO,GTP-grid,0.000088
1,MIMO,GTP-grid,0.000042
2,MIMO,GTP-grid,0.000028
3,MIMO,GTP-grid,0.000034
4,MIMO,GTP-grid,0.000044
5,MIMO,GTP-grid,0.000052
6,MIMO,GTP-grid,0.000067
7,MIMO,GTP-grid,0.000079
8,MIMO,GTP-grid,0.000108
1,SISO,CGTP-sparse,0.00001
2,SISO,CGTP-sparse,0.000011
3,SISO,CGTP-sparse,0.000009
4,SISO,CGTP-sparse,0.000011
5,SISO,CGTP-sparse,0.00001
6,SISO,CGTP-sparse,0.000012
7,SISO,CGTP-sparse,0.00001
8,SISO,CGTP-sparse,0.000012
1,SIMO,CGTP-sparse,0.000012
2,SIMO,CGTP-sparse,0.000016
3,SIMO,CGTP-sparse,0.000013
4,SIMO,CGTP-sparse,0.000015
5,SIMO,CGTP-sparse,0.000015
6,SIMO,CGTP-sparse,0.000016
7,SIMO,CGTP-sparse,0.000017
8,SIMO,CGTP-sparse,0.000019
1,MIMO,CGTP-sparse,0.000013
2,MIMO,CGTP-sparse,0.000016
3,MIMO,CGTP-sparse,0.000021
4,MIMO,CGTP-sparse,0.000035
5,MIMO,CGTP-sparse,0.000061
6,MIMO,CGTP-sparse,0.000207
7,MIMO,CGTP-sparse,0.000513
8,MIMO,CGTP-sparse,0.001624
1,SISO,GTP-fourier,0.000052
2,SISO,GTP-fourier,0.000374
3,SISO,GTP-fourier,0.001542
4,SISO,GTP-fourier,0.005847
5,SISO,GTP-fourier,0.026191
6,SISO,GTP-fourier,0.068826
7,SISO,GTP-fourier,0.097439
8,SIMO,GTP-fourier,0.191649
1,MIMO,GTP-fourier,0.00005
2,MIMO,GTP-fourier,0.000382
3,MIMO,GTP-fourier,0.001543
4,MIMO,GTP-fourier,0.004893
5,MIMO,GTP-fourier,0.026408
6,MIMO,GTP-fourier,0.06814
7,MIMO,GTP-fourier,0.112339
8,MIMO,GTP-fourier,0.187193
1,SIMO,GTP-fourier,0.000049
2,SIMO,GTP-fourier,0.000367
8,SIMO,GTP-fourier,0.180614
3,SIMO,GTP-fourier,0.001521
4,SIMO,GTP-fourier,0.006251
5,SIMO,GTP-fourier,0.027794
6,SIMO,GTP-fourier,0.060684
