lmax,irreps_type,tensor_product_type,batch,flops,normalization
1,MIMO,CGTP-dense,10000,1660000.0,5
2,MIMO,CGTP-dense,10000,16910000.0,14
3,MIMO,CGTP-dense,10000,89960000.0,30
4,MIMO,CGTP-dense,10000,329569984.0,55
5,MIMO,CGTP-dense,10000,959599360.0,91
6,MIMO,CGTP-dense,10000,2371268096.0,140
7,MIMO,CGTP-dense,10000,5207940608.0,204
8,MIMO,CGTP-dense,10000,10430976000.0,285
9,MIMO,CGTP-dense,10000,19446659072.0,385
10,MIMO,CGTP-dense,10000,34175401984.0,506
1,MIMO,GTP-grid,10000,8430000.0,3
2,MIMO,GTP-grid,10000,51450000.0,5
3,MIMO,GTP-grid,10000,175350000.0,7
4,MIMO,GTP-grid,10000,445409984.0,9
5,MIMO,GTP-grid,10000,946110016.0,11
6,MIMO,GTP-grid,10000,1781129984.0,13
7,MIMO,GTP-grid,10000,3073350144.0,15
8,MIMO,GTP-grid,10000,4964849664.0,17
9,MIMO,GTP-grid,10000,7616909824.0,19
10,MIMO,GTP-grid,10000,11210009600.0,21
1,MIMO,VGTP-grid,10000,46710000.0,7
2,MIMO,VGTP-grid,10000,299009984.0,13
3,MIMO,VGTP-grid,10000,1056269952.0,19
4,MIMO,VGTP-grid,10000,2751929856.0,25
5,MIMO,VGTP-grid,10000,5954789888.0,31
6,MIMO,VGTP-grid,10000,11369010176.0,37
7,MIMO,VGTP-grid,10000,19834109952.0,43
8,MIMO,VGTP-grid,10000,32324970496.0,49
9,MIMO,VGTP-grid,10000,49951830016.0,55
10,MIMO,VGTP-grid,10000,73960292352.0,61
1,MIMO,CGTP-sparse,10000,3920624.0,5
2,MIMO,CGTP-sparse,10000,31325824.0,14
3,MIMO,CGTP-sparse,10000,130255200.0,30
4,MIMO,CGTP-sparse,10000,389866624.0,55
5,MIMO,CGTP-sparse,10000,953288832.0,91
6,MIMO,CGTP-sparse,10000,2030423424.0,140
7,MIMO,CGTP-sparse,10000,3910749696.0,204
8,MIMO,CGTP-sparse,10000,6976118784.0,285
9,MIMO,CGTP-sparse,10000,11713584128.0,385
10,MIMO,CGTP-sparse,10000,18728134656.0,506
1,MIMO,Matrix-TP,10000,6720000.0,3
2,MIMO,Matrix-TP,10000,84240000.0,5
3,MIMO,Matrix-TP,10000,496640000.0,7
4,MIMO,Matrix-TP,10000,1950000000.0,9
5,MIMO,Matrix-TP,10000,5935680000.0,11
6,MIMO,Matrix-TP,10000,15174320128.0,13
7,MIMO,Matrix-TP,10000,34160640000.0,15
8,MIMO,Matrix-TP,10000,69809037312.0,17
9,MIMO,Matrix-TP,10000,132200005632.0,19
10,MIMO,Matrix-TP,10000,235427266560.0,21
1,MIMO,GTP-fourier,10000,13050000.0,3
2,MIMO,GTP-fourier,10000,93670000.0,5
3,MIMO,GTP-fourier,10000,354489984.0,7
4,MIMO,GTP-fourier,10000,965430016.0,9
5,MIMO,GTP-fourier,10000,2154010112.0,11
6,MIMO,GTP-fourier,10000,4205349888.0,13
8,MIMO,GTP-fourier,10000,12324790272.0,17
9,MIMO,GTP-fourier,10000,19251132416.0,19
10,MIMO,GTP-fourier,10000,28756709376.0,21
