,irreps_type,tensor_product_type,lmax,batch,Time,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
0,MIMO,CGTP-sparse,5,1,0.00224956800009037,0.0,0.013442459726782865,0.013442459726782865,0.07314741273786066
1,SIMO,CGTP-dense,7,1,6.348801403930113e-05,0.0,1.527298963501418,1.527298963501418,3.535815560125047
2,MIMO,CGTP-sparse,5,128,0.002704736041891981,0.0,1.3911406930016512,1.3911406930016512,6.836239927509254
3,SISO,GTP-fourier,2,128,8.339315408657091e-05,89.039727677454,27.705256451037304,116.74498412849128,242.70236762957384
4,SISO,CGTP-dense,4,1,5.216000000022743e-06,0.0,1.3046729395486252,1.3046729395486252,1.8912133263703437
5,SISO,GTP-grid,3,1,2.4896004742253238e-05,26.614144291122404,13.066357544014664,39.680501835137065,12.95750846479088
6,SISO,CGTP-dense,8,1,7.040004663324129e-06,0.0,2.6271481190405646,2.6271481190405646,6.129795854743571
7,SISO,GTP-fourier,7,1,0.00030131425044572206,0.0,378.4915188673639,378.4915188673639,63.41721482380958
8,SISO,CGTP-sparse,2,1,1.2959990556050039e-05,0.0,0.010098417221865124,0.010098417221865124,0.05474366492824629
9,SIMO,GTP-grid,6,128,9.667200013502032e-05,1958.3366268478978,16.763932455200788,1975.1005593030986,911.1729498867342
10,MIMO,GTP-fourier,5,128,0.0005752317650551204,1628.6310970842292,154.30348690670496,1782.9345839909342,625.9528716145643
11,SISO,GTP-grid,3,128,0.00013238400451082478,1469.2069941965563,21.010171662113606,1490.2171658586701,548.6369331488626
12,SIMO,CGTP-sparse,2,128,5.830399523787937e-05,0.0,0.504947579317024,0.504947579317024,4.640157114763689
13,SIMO,GTP-grid,5,128,9.807998040904558e-05,1291.8618391851119,413.11648055028513,1704.978319735397,703.6329863311222
14,SIMO,GTP-grid,2,128,9.052801448265395e-05,1472.0869949350615,55.54694718137585,1527.6339421164375,514.6289376962318
15,SISO,GTP-fourier,5,128,0.0005786560870336057,1604.5968993072936,152.6850945144474,1757.2819938217408,618.6002833013961
16,SISO,GTP-grid,2,1,2.4351981254287657e-05,26.460350205821772,12.265638092361332,38.72598829818311,11.06765005281195
17,SIMO,GTP-fourier,1,1,3.926400374601315e-05,0.0,5.037136423558105,5.037136423558105,0.9328798866681755
18,SISO,GTP-grid,7,1,2.643199062160134e-05,26.460350190662712,25.33444586074208,51.79479605140479,24.3236065308433
19,MIMO,CGTP-sparse,6,128,0.005542527966832064,0.0,1.4565471032422412,1.4565471032422412,14.857036882970684
20,MIMO,GTP-fourier,7,1,0.00029731430264990467,0.0,442.8890945662104,442.8890945662104,74.04649166045711
21,MIMO,GTP-fourier,6,128,0.0010203839507185544,2264.9968453125657,166.60030170843524,2431.597147021001,695.0416647670614
22,SIMO,CGTP-sparse,4,1,0.0001169599952649929,0.0,0.01867485108262707,0.01867485108262707,0.07689051035871462
23,SIMO,GTP-grid,4,1,4.201598595845389e-05,40.154738951847754,22.403974622699113,62.558713574546864,63.78526117180784
24,MIMO,GTP-grid,4,128,9.318399108753e-05,1508.4274968387508,12.165395231900447,1520.5928920706513,674.8629529950488
25,SIMO,GTP-grid,3,128,9.513600474538433e-05,1520.1711787433003,121.25356297673089,1641.424741720031,577.0296685662
26,SISO,GTP-fourier,6,1,0.00021833429760355973,0.0,304.6710030193066,304.6710030193066,131.93694897059484
27,SISO,CGTP-dense,6,128,1.600000004519194e-05,0.0,62.12050900057041,62.12050900057041,29.200967731303535
28,SIMO,CGTP-sparse,8,1,0.0005118079903629745,0.0,0.02957584492282654,0.02957584492282654,0.16375107224257862
29,SIMO,CGTP-dense,4,128,2.0480009399147778e-05,7.5688349774195895,40.86130566249529,48.43014063991488,17.214471850954
30,SIMO,CGTP-sparse,5,1,0.000185663962166295,0.0,0.02245325948322354,0.02245325948322354,0.08077363524348899
31,SISO,GTP-grid,6,1,2.6336004715622268e-05,26.157945924353108,23.978308060673854,50.136253985026954,20.9190921151042
32,SISO,CGTP-sparse,6,128,5.219201874664961e-05,0.0,2.9256432934421515,2.9256432934421515,25.74456330541449
33,MIMO,CGTP-sparse,4,1,0.00108083200480058,0.0,0.010687399964572951,0.010687399964572951,0.07417313754416545
34,SIMO,GTP-fourier,2,128,8.315836489506736e-05,88.79854259488567,27.804434737850546,116.60297733273622,244.960030418661
35,MIMO,GTP-fourier,2,128,8.276366387825893e-05,89.72496219783599,27.877965140497356,117.60292733833333,245.48273855916355
36,SISO,CGTP-sparse,6,1,4.1152009457217034e-05,0.0,0.02892776178371873,0.02892776178371873,0.08424714064225554
37,MIMO,CGTP-sparse,1,128,2.825598111283932e-05,0.0,0.3423139436082568,0.3423139436082568,4.158727556911764
38,SIMO,GTP-fourier,3,128,0.00012780866757071562,273.31407317630806,61.60655520894376,334.9206283852518,482.33128501268914
39,MIMO,GTP-fourier,1,1,3.958398736877205e-05,0.0,4.994909513931311,4.994909513931311,0.9237119925376028
40,SIMO,CGTP-dense,8,1,6.44160046517828e-05,0.0,1.5721800916367588,1.5721800916367588,3.9514107804178877
41,SISO,GTP-fourier,8,1,0.000352418748172814,0.0,527.9022077044681,527.9022077044681,100.77641345501078
42,MIMO,CGTP-dense,1,1,1.6383999964603985e-05,0.0,2.6461894373678256,2.6461894373678256,0.5370344131067395
43,SIMO,GTP-fourier,7,1,0.00029904344596331687,0.0,439.3797536284629,439.3797536284629,73.4114622934442
44,SISO,GTP-fourier,3,1,9.103926334648902e-05,0.0,61.755639193819825,61.755639193819825,27.93761609404215
45,SISO,GTP-grid,6,128,0.00019142399982433753,1464.8874010799136,21.284435774873675,1486.1718368547874,723.8111986619473
46,SISO,GTP-fourier,2,1,5.3280099939565715e-05,0.0,2.848063542860966,2.848063542860966,8.574657191002212
47,SISO,GTP-grid,5,128,0.00016947198580228673,1108.5066362636505,19.294472990755814,1127.8011092544064,633.2177670742345
48,SIMO,GTP-grid,1,1,3.231999532959467e-05,25.862332925090307,12.00758834405686,37.86992126914716,9.904339505132288
49,SISO,GTP-fourier,3,128,0.00012932141230233046,272.77588349221685,61.05333448328608,333.82921797550296,473.832827633638
50,MIMO,CGTP-dense,2,128,8.777776409797025e-05,4.310699250185231,6.588414544276746,10.899113794461975,6.44932292087935
51,SIMO,GTP-grid,7,1,7.139200000015043e-05,52.31584821428571,28.257681849620543,80.57353006390626,31.69994551654718
