,irreps_type,tensor_product_type,lmax,batch,normalization,Time,all GFLOPs,GB,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
0,SISO,GTP-grid,1,10000,1,7.9168e-05,0.2732532322406769,0.004961609840393066,2608.4916486928732,73.03006666256418,2681.521715355437,81.81273829194666
1,MIMO,GTP-fourier,1,10000,5,8.2464e-05,0.2215248942375183,0.01032102108001709,2586.050464692664,249.34414612485637,2835.3946108175205,143.71427117548447
2,SISO,CGTP-sparse,10,10000,1,8.224e-05,0.06224972382187843,0.001600027084350586,49.42906289704035,187.55491724094628,236.9839801379866,6.9030140029417915
3,SIMO,CGTP-dense,7,10000,1,7.8432e-05,0.7187108919024467,0.01839733123779297,5620.400420716244,717.0964699750074,6337.496890691252,219.65236467983976
5,SIMO,GTP-grid,5,10000,1,0.00017260799999999998,1.36053029820323,0.06938707828521729,5370.3812092649005,1318.5244169514647,6688.905626216364,428.81988928058297
6,MIMO,CGTP-sparse,3,10000,44,0.000504992,0.3963466230779886,0.03862178325653076,381.17252969486475,105.126619194089,486.2991488889537,28.30443973676199
7,MIMO,CGTP-sparse,7,10000,344,0.004177664,8.300997408106923,0.39595675468444824,399.13392952395327,154.83478704536063,553.9687165693139,34.94762888021959
8,MIMO,Matrix-TP,6,10000,25,0.00207152,34.60664367675781,0.529468297958374,14329.474105866531,8347.831769923394,22677.305875789927,322.73364318076307
9,SIMO,GTP-grid,7,10000,1,0.000271552,3.4122449532151222,0.16276311874389648,7778.516687570169,1435.6906826476493,9214.207370217817,608.1391961612319
11,MIMO,GTP-grid,4,10000,17,0.000149056,1.0592758134007454,0.046050310134887695,5011.338970951676,1423.407919376763,6434.746890328439,363.4954471541822
13,MIMO,CGTP-sparse,2,10000,19,0.00026176,0.22521268390119076,0.00874936580657959,247.55036100220445,48.66865759635584,296.2190185985603,24.697089931934578
14,SIMO,CGTP-sparse,4,10000,1,0.00023369600000000003,0.3132731206715107,0.002477288246154785,148.32045159392925,57.73538833732618,206.05583993125543,7.634018736382893
15,SISO,GTP-grid,4,10000,1,0.00012412800000000002,0.5698996856808662,0.040853261947631836,2757.911500959645,1621.208630856589,4379.120131816233,359.79915288371484
18,MIMO,CGTP-sparse,1,10000,6,2.8896e-05,0.034289658069610596,0.00032150745391845703,576.7898106233621,61.15485381130644,637.9446644346684,6.311891408645045
19,MIMO,GTP-fourier,8,10000,33,0.009198464,37.471938490867615,0.7060922384262085,13468.084922149728,587.0869877447316,14055.171909894461,712.6579969309208
20,MIMO,Matrix-TP,2,10000,9,0.00017113599999999998,0.4825383871793747,0.013472318649291992,1374.825156020391,1431.6365397276968,2806.4616957480875,142.07056931928167
23,SIMO,CGTP-dense,6,10000,1,6.646399999999999e-05,0.5382155403494835,0.014424443244934082,5075.508297366806,732.379527333221,5807.887824700027,205.40385322687084
24,MIMO,GTP-fourier,3,10000,13,0.000432544,1.2882823050022125,0.05930685997009277,4792.444209825361,316.1246625247017,5108.568872350063,360.5028521557687
26,MIMO,GTP-fourier,5,10000,21,0.0018271359999999998,6.523917347192764,0.18889999389648438,10422.085914827852,508.2523125057614,10930.338227333616,574.948745148286
27,SIMO,GTP-grid,6,10000,1,0.000254656,2.2998899929225445,0.1087791919708252,5480.208889685169,1380.8498133820756,6861.058703067246,495.8793308711965
29,MIMO,CGTP-dense,4,10000,85,0.0006168960000000001,1.8387879133224487,0.0829477310180664,1581.4980469193538,149.20536324901943,1730.7034101683735,137.3981105993077
31,SISO,GTP-fourier,4,10000,1,0.000919744,4.1884301751852036,0.10437393188476562,7737.82031113121,428.8021738406287,8166.622484971838,382.4215541921683
33,SIMO,CGTP-sparse,5,10000,1,0.00034060799999999995,0.46057006157934666,0.004250645637512207,140.72332299989762,96.04289886767185,236.76622186756944,9.745141708199323
34,SIMO,CGTP-sparse,9,10000,1,0.0009115200000000001,0.5166165921837091,0.021391630172729492,69.89902102781821,192.72814381257263,262.62716484039083,15.870373340615963
35,MIMO,CGTP-dense,5,10000,146,0.0013369599999999999,3.031091123819351,0.19813692569732666,1287.5217214249587,123.39482537727825,1410.916546802237,110.60112469084481
37,MIMO,Matrix-TP,4,10000,17,0.00045823999999999995,5.04219825565815,0.15633022785186768,7969.110134736535,2058.4531199169187,10027.563254653453,454.9480349203935
38,SIMO,CGTP-dense,9,10000,1,0.000173856,1.623573713004589,0.039154648780822754,3365.2719296076248,1042.4954466932015,4407.767376300827,278.01626179184984
39,MIMO,CGTP-dense,10,10000,891,0.006092607999999999,50.29824972897768,1.8561851978302002,1826.26875168882,254.00299826361095,2080.271749952431,180.75888823800148
40,SISO,GTP-grid,6,10000,1,0.000181984,0.9997297301888466,0.1010434627532959,3317.9357651158084,2040.516981389198,5358.452746505007,536.307745683014
