lmax,irreps_type,tensor_product_type,batch,Time,normalization
1,MIMO,CGTP-dense,10000,0.0009836763143539428,5
2,MIMO,CGTP-dense,10000,0.003568923473358154,14
3,MIMO,CGTP-dense,10000,0.009799239039421082,30
4,MIMO,CGTP-dense,10000,0.020951873064041136,55
5,MIMO,CGTP-dense,10000,0.049651536345481875,91
6,MIMO,CGTP-dense,10000,0.10336958169937134,140
7,MIMO,CGTP-dense,10000,0.15842632055282593,204
1,MIMO,GTP-grid,10000,0.0022671908140182496,3
2,MIMO,GTP-grid,10000,0.0018866002559661866,5
3,MIMO,GTP-grid,10000,0.0034721076488494875,7
4,MIMO,GTP-grid,10000,0.005084890127182007,9
5,MIMO,GTP-grid,10000,0.007658353447914124,11
6,MIMO,GTP-grid,10000,0.022754573822021486,13
7,MIMO,GTP-grid,10000,0.029575490951538087,15
1,MIMO,VGTP-grid,10000,0.006589782238006592,7
2,MIMO,VGTP-grid,10000,0.008272159099578857,13
3,MIMO,VGTP-grid,10000,0.026683712005615236,19
4,MIMO,VGTP-grid,10000,0.03786818087100983,25
5,MIMO,VGTP-grid,10000,0.05762143433094025,31
6,MIMO,VGTP-grid,10000,0.07946683764457703,37
7,MIMO,VGTP-grid,10000,0.10233397781848907,43
1,MIMO,CGTP-sparse,10000,0.0011714130640029907,5
2,MIMO,CGTP-sparse,10000,0.003677669167518616,14
3,MIMO,CGTP-sparse,10000,0.010415613651275635,30
4,MIMO,CGTP-sparse,10000,0.033249422907829285,55
5,MIMO,CGTP-sparse,10000,0.08007725775241852,91
6,MIMO,CGTP-sparse,10000,0.18535251319408416,140
7,MIMO,CGTP-sparse,10000,0.2737065315246582,204
1,MIMO,Matrix-TP,10000,0.014362388849258423,3
2,MIMO,Matrix-TP,10000,0.019761207699775695,5
3,MIMO,Matrix-TP,10000,0.06451655626296997,7
4,MIMO,Matrix-TP,10000,0.08169953525066376,9
5,MIMO,Matrix-TP,10000,0.12436630725860595,11
6,MIMO,Matrix-TP,10000,0.20886077284812926,13
7,MIMO,Matrix-TP,10000,0.3331346303224564,15
1,MIMO,GTP-fourier,10000,0.011176946759223937,3
2,MIMO,GTP-fourier,10000,0.020861300826072692,5
3,MIMO,GTP-fourier,10000,0.10936008393764496,7
4,MIMO,GTP-fourier,10000,0.21709350049495696,9
5,MIMO,GTP-fourier,10000,0.43416511118412016,11
6,MIMO,GTP-fourier,10000,0.750699183344841,13
7,MIMO,GTP-fourier,10000,1.71578588783741,15
8,MIMO,CGTP-dense,10000,0.2131642997264862,285
9,MIMO,CGTP-dense,10000,0.29351108968257905,385
10,MIMO,CGTP-dense,10000,0.4245067834854126,506
8,MIMO,GTP-grid,10000,0.033816280961036685,17
9,MIMO,GTP-grid,10000,0.043886402249336244,19
10,MIMO,GTP-grid,10000,0.06005965173244476,21
