,irreps_type,tensor_product_type,lmax,batch,normalization,Time,all GFLOPs,GB,TC GFLOPs/s,CC GFLOPs/s,all GFLOPs/s,GB/s
0,MIMO,CGTP-sparse,5,1,146,0.002188768,3.0646100640296936e-05,0.0023956298828125,0.0,0.013742567192169607,0.013742567192169607,1.0894910226281291
1,SISO,GTP-grid,1,10000,1,6.0096e-05,0.06537768244743347,0.005755782127380371,287.8206270235079,439.2209924429158,727.0416194664238,116.82233737424401
2,MIMO,GTP-fourier,1,10000,5,0.00010188799999999998,0.17614613473415375,0.012196063995361328,1195.3784791935404,154.5172859823075,1349.8957651758478,163.05386493605934
3,MIMO,CGTP-sparse,4,1000000,85,0.07691427199999999,8.407048881053925,40.79793691635132,0.0,135.13659184444893,135.13659184444893,580.7580117288236
12,SISO,CGTP-sparse,10,10000,1,0.000115296,0.04928559064865112,0.0016695261001586914,0.0,174.68239852221248,174.68239852221248,6.558309184516902
14,SIMO,CGTP-dense,7,10000,1,0.00011088,0.6097555905580521,0.03549671173095703,2527.7467812456034,579.1796695697317,3106.926450815335,361.754747638841
16,SIMO,CGTP-sparse,6,100000,1,0.005491519999999999,1.318473368883133,0.15329885482788086,0.0,119.11018663089256,119.11018663089256,51.274264636305865
18,SIMO,GTP-grid,5,10000,1,0.000292768,1.086438812315464,0.12568879127502441,1932.9450293174777,839.4721196735665,2772.417148991044,418.0377583293339
23,MIMO,GTP-grid,2,1000000,9,0.006069824000000001,14.394656866788864,2.746636390686035,918.1716781831676,1203.4815476196463,2121.653225802814,526.1338360756884
24,MIMO,CGTP-sparse,3,10000,44,0.00044700799999999993,0.09183771908283234,0.02032339572906494,0.0,113.90712829749457,113.90712829749457,26.571625767924562
26,MIMO,CGTP-sparse,7,10000,344,0.00609536,2.7433503419160843,0.4763880968093872,0.0,95.96941840894985,95.96941840894985,23.733466503130884
29,MIMO,Matrix-TP,6,10000,25,0.0025347200000000003,34.11482238769531,0.5857363939285278,9486.773276509268,6865.142449882318,16351.915726391584,281.4617281725184
31,SISO,GTP-fourier,5,1000,1,0.00038265600000000004,0.6493125781416893,0.02076101303100586,2664.5315691977157,213.34547435817962,2877.877043555895,160.83813893481346
36,SIMO,GTP-grid,7,10000,1,0.0006183359999999999,3.3651717230677605,0.2758826017379761,2305.985735252362,865.7447983300154,3171.7305335823776,459.1370364701612
37,SISO,CGTP-dense,4,10000,1,3.2608000000000004e-05,0.06015588343143463,0.005608320236206055,0.0,1272.527510130341,1272.527510130341,210.9426426852018
39,MIMO,GTP-grid,4,10000,17,0.00023238400000000003,0.7598439604043961,0.08593082427978516,886.1059792075248,1296.5436451300868,2182.649624337612,418.581339085129
43,SIMO,CGTP-sparse,2,100000,1,0.000180384,0.08242204785346985,0.02088308334350586,0.0,83.25863057347209,83.25863057347209,55.89456086453741
47,SISO,GTP-fourier,4,1000,1,0.00021388799999999997,0.32682039588689804,0.011687040328979492,1170.7266033318815,137.9844519925072,1308.711055324389,135.78415782226162
48,SISO,GTP-fourier,1,1000,1,5.0048e-05,0.01799532026052475,0.0010629892349243164,150.7832408136866,26.25484707988221,177.03808789356881,25.866930409650916
51,SISO,GTP-grid,8,1000,1,9.7632e-05,0.1377490721642971,0.017661452293395996,312.7940542148779,669.8542024490162,982.6482566638942,171.97164282941253
54,SISO,GTP-grid,4,1000,1,5.2992e-05,0.03689073026180267,0.00402677059173584,107.2198495097544,400.81034556958554,508.03019507933993,85.61360780721319
55,SIMO,GTP-grid,4,1000000,1,0.012941280000000001,88.42752392590046,5.645126581192017,5772.497842408458,912.3484156832856,6684.846258091745,505.96122629627916
62,SIMO,CGTP-sparse,3,1000,1,5.900799999999999e-05,0.0021709129214286804,0.00017380714416503906,0.0,10.517988960410275,10.517988960410275,2.1118917731521067
63,MIMO,CGTP-sparse,2,10000,19,0.000195488,0.022212043404579163,0.0066367387771606445,0.0,63.52245866458365,63.52245866458365,29.23056142995971
65,SIMO,CGTP-sparse,4,10000,1,0.000290176,0.04501082003116608,0.00317537784576416,0.0,42.85994488814346,42.85994488814346,9.885511973963363
69,MIMO,CGTP-dense,5,1000000,146,0.097689344,265.83499026298523,55.102163672447205,0.0,386.3149680975153,386.3149680975153,594.8431352556199
70,SISO,GTP-grid,4,10000,1,0.00019455999999999998,0.3843628168106079,0.07533681392669678,533.1251693264668,1086.809594582956,1619.9347639094228,371.9575164622995
71,SISO,GTP-grid,2,1000,1,4.6016e-05,0.01798490434885025,0.0014132261276245117,140.57699239478922,186.81193226748874,327.38892466227793,35.84507785157197
72,SIMO,GTP-fourier,3,1000,1,0.00012736,0.12350668758153915,0.006460666656494141,1109.1973148880998,115.85454710746373,1225.0518619955635,101.97928311455144
74,MIMO,GTP-fourier,1,100000,5,0.0006297599999999999,1.7398816049098969,0.19317519664764404,1020.2230183297769,153.0558375669002,1173.278855896677,444.1757451333754
79,MIMO,CGTP-dense,4,1000,85,0.000343296,0.08891091495752335,0.007909059524536133,0.0,64.09312003275096,64.09312003275096,27.629794241569464
80,SISO,CGTP-sparse,2,1000,1,1.2416e-05,0.00027939677238464355,0.00014221668243408203,0.0,18.00753920803542,18.00753920803542,11.752381897561177
82,MIMO,CGTP-dense,4,100000,85,0.0032807360000000002,7.196412235498428,1.4728833436965942,200.27480776896607,304.13891359855893,504.4137213675251,463.9247015624208
84,SISO,GTP-fourier,7,100000,1,0.09275724799999999,221.53706488013268,5.264824151992798,6699.841795398471,316.6406324185598,7016.482427817031,413.02570982370503
94,MIMO,CGTP-sparse,1,10000,6,3.344e-05,0.0028405338525772095,0.00039267539978027344,0.0,32.634809887146254,32.634809887146254,5.06979115429301
103,SISO,GTP-fourier,2,1000,1,6.2752e-05,0.037994347512722015,0.002976655960083008,273.0136970907592,54.812110919471344,327.8258080102305,60.660583035881714
104,MIMO,e3x-TP,3,1000,1,4.7807999999999994e-05,0.06304931640625,0.006052851676940918,345.5341726109602,602.0287039606923,947.5628765716524,140.00468991526722
106,MIMO,Matrix-TP,4,1000000,17,0.025631648,291.2380676269531,14.958478212356567,8503.91885197256,2227.288160585087,10731.207012557647,545.466267292425
112,MIMO,CGTP-sparse,4,100000,85,0.005847231999999999,2.7445144951343536,0.8404066562652588,0.0,117.90363579079636,117.90363579079636,72.98917228755175
115,SIMO,CGTP-dense,2,1000,1,2.1343999999999998e-05,0.002987906336784363,0.00027441978454589844,54.03010965251237,59.008699151736444,113.0388088042488,12.989620857148438
118,MIMO,GTP-fourier,8,10000,33,0.015762176,36.81023024022579,0.8172653913497925,4608.089041896828,233.7443923153421,4841.833434212171,441.59250056205565
120,SIMO,GTP-grid,2,1000000,1,0.005971296000000001,13.448255680501461,2.717550754547119,1014.2594119465224,1107.1187822861539,2121.378194232676,537.878932219247
124,MIMO,Matrix-TP,2,10000,9,0.00021513600000000002,0.1352895200252533,0.028777599334716797,0.0,884.3342742166324,884.3342742166324,262.6308376108833
129,MIMO,GTP-grid,6,100000,25,0.045884832,324.14351649582386,26.50777578353882,9657.050851452837,2047.4850218849976,11704.535873337836,512.2223840166511
