lmax,irreps_type,tensor_product_type,batch,Time,normalization
1,MIMO,CGTP-dense,10000,8.579492568969727e-05,5
2,MIMO,CGTP-dense,10000,0.0002366781234741211,14
3,MIMO,CGTP-dense,10000,0.0005194485187530517,30
4,MIMO,CGTP-dense,10000,0.001033499836921692,55
5,MIMO,CGTP-dense,10000,0.0023026853799819947,91
6,MIMO,CGTP-dense,10000,0.004322263598442078,140
7,MIMO,CGTP-dense,10000,0.009994426369667053,204
8,MIMO,CGTP-dense,10000,0.015578663349151612,285
9,MIMO,CGTP-dense,10000,0.034984469413757324,385
10,MIMO,CGTP-dense,10000,0.07652485072612762,506
1,SIMO,CGTP-dense,10000,7.941722869873047e-05,2
2,SIMO,CGTP-dense,10000,0.0001188129186630249,3
3,SIMO,CGTP-dense,10000,0.00014926791191101075,4
4,SIMO,CGTP-dense,10000,0.00019825398921966553,5
5,SIMO,CGTP-dense,10000,0.0002826988697052002,6
6,SIMO,CGTP-dense,10000,0.0004789143800735474,7
7,SIMO,CGTP-dense,10000,0.0006386667490005493,8
8,SIMO,CGTP-dense,10000,0.0007628172636032105,9
9,SIMO,CGTP-dense,10000,0.001063963770866394,10
10,SIMO,CGTP-dense,10000,0.001703488826751709,11
1,SISO,CGTP-dense,10000,6.379187107086182e-05,1
2,SISO,CGTP-dense,10000,8.115768432617187e-05,1
3,SISO,CGTP-dense,10000,7.716715335845948e-05,1
4,SISO,CGTP-dense,10000,0.00010380148887634277,1
5,SISO,CGTP-dense,10000,6.684362888336182e-05,1
6,SISO,CGTP-dense,10000,0.00016015470027923583,1
7,SISO,CGTP-dense,10000,6.81161880493164e-05,1
8,SISO,CGTP-dense,10000,0.00021873414516448975,1
9,SISO,CGTP-dense,10000,6.845593452453613e-05,1
10,SISO,CGTP-dense,10000,0.00028369724750518797,1
1,MIMO,GTP-fourier,10000,0.0004182785749435425,3
2,MIMO,GTP-fourier,10000,0.002298608422279358,5
3,MIMO,GTP-fourier,10000,0.007991313934326172,7
4,MIMO,GTP-fourier,10000,0.02101539373397827,9
5,MIMO,GTP-fourier,10000,0.04599362313747406,11
6,MIMO,GTP-fourier,10000,0.08944780826568603,13
7,MIMO,GTP-fourier,10000,0.16388764679431916,15
8,MIMO,GTP-fourier,10000,0.2800696939229965,17
9,MIMO,GTP-fourier,10000,0.4560608148574829,19
10,MIMO,GTP-fourier,10000,0.7098535090684891,21
1,SIMO,GTP-fourier,10000,0.0004029929637908936,3
2,SIMO,GTP-fourier,10000,0.002238169312477112,5
3,SIMO,GTP-fourier,10000,0.007572770118713379,7
4,SIMO,GTP-fourier,10000,0.01988922953605652,9
5,SIMO,GTP-fourier,10000,0.04340827763080597,11
6,SIMO,GTP-fourier,10000,0.08341802358627319,13
7,SIMO,GTP-fourier,10000,0.15313515365123748,15
8,SIMO,GTP-fourier,10000,0.2581794232130051,17
9,SIMO,GTP-fourier,10000,0.4157757043838501,19
10,SIMO,GTP-fourier,10000,0.6406033039093018,21
1,SISO,GTP-fourier,10000,0.0004203885793685913,1
2,SISO,GTP-fourier,10000,0.0021986693143844606,1
3,SISO,GTP-fourier,10000,0.0072387844324111935,1
4,SISO,GTP-fourier,10000,0.01920175850391388,1
5,SISO,GTP-fourier,10000,0.0414067804813385,1
6,SISO,GTP-fourier,10000,0.08042545318603515,1
7,SISO,GTP-fourier,10000,0.1452655613422394,1
