lmax,irreps_type,tensor_product_type,batch,Time,normalization
1,MIMO,GTP-grid,10000,8.487403392791748e-05,3
2,MIMO,GTP-grid,10000,9.949803352355957e-05,5
3,MIMO,GTP-grid,10000,0.0001822531223297119,7
4,MIMO,GTP-grid,10000,0.0002985119819641113,9
5,MIMO,GTP-grid,10000,0.0003293454647064209,11
6,MIMO,GTP-grid,10000,0.0004751831293106079,13
7,MIMO,GTP-grid,10000,0.0006718456745147706,15
1,SIMO,GTP-grid,10000,0.0001259446144104004,3
2,SIMO,GTP-grid,10000,0.00011238157749176026,5
3,SIMO,GTP-grid,10000,0.00027028322219848635,7
4,SIMO,GTP-grid,10000,0.0002871572971343994,9
5,SIMO,GTP-grid,10000,0.0003073364496231079,11
6,SIMO,GTP-grid,10000,0.000540083646774292,13
7,SIMO,GTP-grid,10000,0.0005912750959396363,15
1,SISO,GTP-grid,10000,6.836354732513428e-05,1
2,SISO,GTP-grid,10000,9.773671627044678e-05,1
3,SISO,GTP-grid,10000,0.00014494061470031737,1
4,SISO,GTP-grid,10000,0.00020691156387329102,1
5,SISO,GTP-grid,10000,0.00027531981468200686,1
6,SISO,GTP-grid,10000,0.0003589242696762085,1
7,SISO,GTP-grid,10000,0.0004556506872177124,1
1,MIMO,VGTP-grid,10000,0.00015703737735748292,7
2,MIMO,VGTP-grid,10000,0.00027205049991607666,13
3,MIMO,VGTP-grid,10000,0.0004290103912353516,19
4,MIMO,VGTP-grid,10000,0.0006596088409423828,25
5,MIMO,VGTP-grid,10000,0.0009319126605987549,31
6,MIMO,VGTP-grid,10000,0.0013516634702682496,37
7,MIMO,VGTP-grid,10000,0.0015311956405639649,43
1,SIMO,VGTP-grid,10000,0.00016233623027801515,7
2,SIMO,VGTP-grid,10000,0.0002963125705718994,13
3,SIMO,VGTP-grid,10000,0.00042916834354400635,19
4,SIMO,VGTP-grid,10000,0.0006863266229629516,25
5,SIMO,VGTP-grid,10000,0.000938481092453003,31
6,SIMO,VGTP-grid,10000,0.0013331770896911621,37
7,SIMO,VGTP-grid,10000,0.0015503168106079102,43
1,SISO,VGTP-grid,10000,0.00016533732414245606,7
2,SISO,VGTP-grid,10000,0.00026723742485046387,13
3,SISO,VGTP-grid,10000,0.000444495677947998,19
4,SISO,VGTP-grid,10000,0.0006712824106216431,25
5,SISO,VGTP-grid,10000,0.0009696632623672485,31
6,SISO,VGTP-grid,10000,0.0013349324464797974,37
7,SISO,VGTP-grid,10000,0.0015278726816177369,43
1,MIMO,CGTP-sparse,10000,9.144246578216553e-05,5
2,MIMO,CGTP-sparse,10000,0.00018911659717559814,14
